############################## Ce: 5e-6 ########################
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 1000 eV-----grid 1-------#
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.953 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.958 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 70.03 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 70.024 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.95 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 70.031 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.964 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.957 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 70.0 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.997 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 70.05 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 70.021 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 70.03 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 70.01 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.971 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 70.001 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 70.009 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 70.017 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 70.046 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 70.016 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 69.963 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.96 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 70.048 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 70.01 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 69.973 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 70.023 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 70.028 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 69.97 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 70.019 ps.
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - #------------Processing 29 files------------#

2026-03-26 10:08 - ml4cascades.lammps.process - INFO - #------------Final defect analysis, PKA_kin_eng: 1000 eV-----grid 16-------#
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.997 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 70.002 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 70.012 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 70.003 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.987 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 69.95 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 70.023 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 70.026 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.982 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 70.044 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 70.042 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 69.953 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.959 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.986 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 70.018 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 70.046 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 70.033 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 70.026 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.968 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 69.98 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 70.039 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 70.05 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 69.99 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 70.013 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 69.996 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 70.008 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 69.997 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 70.032 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.997 ps.
2026-03-26 10:08 - ml4cascades.lammps.process - INFO - #------------Processing 29 files------------#

2026-03-26 10:13 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 2000 eV-----grid 1-------#
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.811 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.764 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 69.959 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.892 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.794 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.93 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 70.004 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.799 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.793 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.893 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.817 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.887 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.821 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.928 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 69.836 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 69.8 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.821 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 69.978 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.909 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 69.924 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 69.85 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 70.043 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.863 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 69.803 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 32 running 69.968 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 69.995 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 34 running 69.865 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 70.001 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - #------------Processing 28 files------------#

2026-03-26 10:13 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 2000 eV------grid 16------#
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.962 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.777 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.976 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 70.007 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.842 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.889 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.953 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.899 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 70.048 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.985 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 69.922 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.838 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.756 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.848 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.942 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 70.032 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 69.767 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.848 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 69.789 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 69.856 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.761 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 69.798 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 69.94 ps.
2026-03-26 10:13 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 69.916 ps.
