2026-03-26 09:44 - ml4cascades.lammps.process - INFO - #------------Final defect analysis, PKA_kin_eng: 1000 eV------ecut 1eV------#
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.996 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.999 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 69.957 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.967 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.961 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 69.985 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 70.024 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.998 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 70.023 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.992 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.972 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 70.047 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 70.026 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 70.037 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.979 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.99 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 70.043 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 69.986 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 69.977 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 70.001 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 70.035 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 70.023 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.978 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 69.961 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 70.025 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 70.032 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 70.006 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 70.008 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 70.029 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.98 ps.
2026-03-26 09:44 - ml4cascades.lammps.process - INFO - #------------Processing 30 files------------#

2026-03-26 09:47 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 1000 eV-----ecut 10eV-------#
2026-03-26 09:47 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.996 ps.
2026-03-26 09:47 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.982 ps.
