2025-07-08 21:57 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 100 eV, supercell size: 7 --------------------
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1382 with Velocities: -48.17, -3.32, -155.67 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1772 with Velocities: -78.51, -49.80, -133.87 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1392 with Velocities: -32.92, -45.29, -153.07 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1833 with Velocities: -48.60, -57.00, -144.76 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1391 with Velocities: -45.25, -4.87, -156.51 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1833 with Velocities: -48.21, -58.14, -144.43 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1772 with Velocities: -76.81, -16.00, -142.86 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1392 with Velocities: -52.51, -23.71, -152.46 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1829 with Velocities: -96.58, -52.16, -120.49 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1772 with Velocities: -87.50, -50.72, -127.82 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1772 with Velocities: -94.71, -48.88, -123.31 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1833 with Velocities: -46.92, -41.68, -150.42 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1772 with Velocities: -89.18, -32.03, -132.61 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1783 with Velocities: -74.80, -9.31, -144.51 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1833 with Velocities: -56.92, -52.38, -143.46 ang/ps
2025-07-08 21:57 - ml4cascades.lammps - INFO - PKA ID: 1833 with Velocities: -49.74, -60.83, -142.80 ang/ps
