# electronic stopping
130
E(eV) Ge
1.1 6.023E-02
1.2 6.023E-02
1.3 6.268E-02
1.4 6.505E-02
1.5 6.733E-02
1.6 6.954E-02
1.7 7.168E-02
1.8 7.376E-02
2.0 7.775E-02
2.25 8.247E-02
2.49999 8.693E-02
2.74999 9.117E-02
2.99999 9.522E-02
3.24999 9.911E-02
3.49999 1.029E-01
3.74999 1.065E-01
3.99999 1.100E-01
4.49999 1.166E-01
4.99999 1.229E-01
5.49999 1.289E-01
5.99999 1.347E-01
6.49999 1.402E-01
6.99999 1.455E-01
7.99999 1.555E-01
8.99999 1.649E-01
9.99999 1.739E-01
10.9999 1.823E-01
11.9999 1.904E-01
12.9999 1.982E-01
13.9999 2.057E-01
14.9999 2.129E-01
15.9999 2.199E-01
16.9999 2.267E-01
17.9999 2.333E-01
19.9999 2.459E-01
22.4999 2.608E-01
24.9999 2.749E-01
27.4999 2.883E-01
29.9999 3.011E-01
32.4999 3.134E-01
34.9999 3.253E-01
37.4999 3.367E-01
39.9999 3.477E-01
44.9999 3.688E-01
49.9999 3.888E-01
54.9999 4.077E-01
59.9999 4.259E-01
64.9999 4.432E-01
69.9999 4.600E-01
79.9999 4.917E-01
89.9999 5.216E-01
99.9999 5.498E-01
110.0 5.766E-01
120.0 6.023E-01
130.0 6.268E-01
139.999 6.505E-01
149.999 6.733E-01
159.999 6.954E-01
169.999 7.168E-01
179.999 7.376E-01
199.999 7.775E-01
224.999 8.247E-01
249.999 8.693E-01
274.999 9.117E-01
299.999 9.522E-01
324.999 9.911E-01
349.999 1.029E+00
374.999 1.065E+00
399.999 1.100E+00
449.999 1.166E+00
499.999 1.229E+00
549.999 1.289E+00
599.999 1.347E+00
649.999 1.402E+00
699.999 1.455E+00
799.999 1.555E+00
899.999 1.649E+00
999.999 1.739E+00
1100.0 1.823E+00
1200.0 1.904E+00
1300.0 1.982E+00
1400.0 2.057E+00
1500.0 2.129E+00
1600.0 2.199E+00
1700.0 2.267E+00
1800.0 2.333E+00
2000.0 2.459E+00
2250.0 2.608E+00
2500.0 2.749E+00
2750.0 2.883E+00
3000.0 3.011E+00
3250.0 3.134E+00
3500.0 3.253E+00
3750.0 3.367E+00
4000.0 3.477E+00
4500.0 3.688E+00
5000.0 3.888E+00
5500.0 4.077E+00
6000.0 4.259E+00
6500.0 4.432E+00
7000.0 4.600E+00
8000.0 4.917E+00
9000.0 5.216E+00
10000.0 5.498E+00
11000.0 5.766E+00
12000.0 6.023E+00
13000.0 6.268E+00
14000.0 6.505E+00
15000.0 6.733E+00
16000.0 6.954E+00
17000.0 7.168E+00
18000.0 7.376E+00
20000.0 7.775E+00
22500.0 8.247E+00
25000.0 8.693E+00
27500.0 9.117E+00
30000.0 9.522E+00
32500.0 9.911E+00
35000.0 1.029E+01
37500.0 1.065E+01
40000.0 1.100E+01
45000.0 1.166E+01
50000.0 1.229E+01
55000.0 1.289E+01
60000.0 1.347E+01
65000.0 1.402E+01
70000.0 1.455E+01
80000.0 1.555E+01
90000.0 1.649E+01
100000.0 1.739E+01
