 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 25, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Ge_Ge_elstop.txt

 Ion = Germanium [32] , Mass = 72.56 amu

 Target Density =  5.3500E+00 g/cm3 = 4.4371E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ge     32    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.023E-02  7.290E-01       1 A         1 A         1 A   
    1.2 eV    6.023E-02  7.748E-01       2 A         1 A         1 A   
    1.3 eV    6.268E-02  8.194E-01       2 A         1 A         1 A   
    1.4 eV    6.505E-02  8.629E-01       2 A         1 A         1 A   
    1.5 eV    6.733E-02  9.054E-01       2 A         1 A         1 A   
    1.6 eV    6.954E-02  9.469E-01       2 A         1 A         1 A   
    1.7 eV    7.168E-02  9.876E-01       2 A         1 A         1 A   
    1.8 eV    7.376E-02  1.027E+00       2 A         1 A         1 A   
      2 eV    7.775E-02  1.105E+00       2 A         1 A         1 A   
   2.25 eV    8.247E-02  1.198E+00       2 A         1 A         1 A   
2.49999 eV    8.693E-02  1.288E+00       2 A         1 A         1 A   
2.74999 eV    9.117E-02  1.375E+00       2 A         1 A         1 A   
2.99999 eV    9.522E-02  1.459E+00       2 A         2 A         1 A   
3.24999 eV    9.911E-02  1.541E+00       2 A         2 A         1 A   
3.49999 eV    1.029E-01  1.620E+00       2 A         2 A         1 A   
3.74999 eV    1.065E-01  1.698E+00       2 A         2 A         1 A   
3.99999 eV    1.100E-01  1.774E+00       2 A         2 A         1 A   
4.49999 eV    1.166E-01  1.920E+00       3 A         2 A         1 A   
4.99999 eV    1.229E-01  2.061E+00       3 A         2 A         2 A   
5.49999 eV    1.289E-01  2.197E+00       3 A         2 A         2 A   
